extractor ,key_points       ,feature_extract_time (e-04) ,extract_mean_time (e-06) ,matcher ,matches ,feature_match_time (e-04) ,match_mean_time (e-06) ,rmse_homography ,images                                                             ,error
sift      ,"[4229, 7464]"   ,"[23578.0, 26079.0]"        ,"[558.0, 349.0]"         ,bf      ,   2630 ,                  50917.0 ,                1936.0 ,         279.64 ,"['images/FAD II/imagem_013.png', 'images/FAD II/imagem_012.png']" ,False
surf      ,"[4409, 7181]"   ,"[35413.0, 47993.0]"        ,"[803.0, 668.0]"         ,knn     ,   1716 ,                  15256.0 ,                 889.0 ,         110.87 ,"['images/FAD II/imagem_013.png', 'images/FAD II/imagem_012.png']" ,False
surf      ,"[4409, 7181]"   ,"[35393.0, 49320.0]"        ,"[803.0, 687.0]"         ,bf      ,   2427 ,                  30766.0 ,                1268.0 ,         234.68 ,"['images/FAD II/imagem_013.png', 'images/FAD II/imagem_012.png']" ,False

brisk     ,"[15178, 10110]" ,"[22102.0, 14858.0]"        ,"[146.0, 147.0]"         ,knn     ,   1169 ,                 107548.0 ,                9200.0 ,         100.07 ,"['images/FAD II/imagem_033.png', 'images/FAD II/imagem_032.png']" ,True
brisk     ,"[15178, 10110]" ,"[30533.0, 17414.0]"        ,"[201.0, 172.0]"         ,bf      ,   4298 ,                 212613.0 ,                4947.0 ,         271.01 ,"['images/FAD II/imagem_033.png', 'images/FAD II/imagem_032.png']" ,True
orb       ,"[5000, 4932]"   ,"[4816.0, 3923.0]"          ,"[96.0, 80.0]"           ,knn     ,    329 ,                  15749.0 ,                4787.0 ,         112.3  ,"['images/FAD II/imagem_033.png', 'images/FAD II/imagem_032.png']" ,True
orb       ,"[5000, 4932]"   ,"[3974.0, 3352.0]"          ,"[79.0, 68.0]"           ,bf      ,   1543 ,                  29719.0 ,                1926.0 ,         304.29 ,"['images/FAD II/imagem_033.png', 'images/FAD II/imagem_032.png']" ,True
sift      ,"[10792, 7783]"  ,"[40201.0, 29837.0]"        ,"[373.0, 383.0]"         ,knn     ,   1273 ,                  76760.0 ,                6030.0 ,         117.59 ,"['images/FAD II/imagem_033.png', 'images/FAD II/imagem_032.png']" ,True
sift      ,"[10792, 7783]"  ,"[34673.0, 25469.0]"        ,"[321.0, 327.0]"         ,bf      ,   3389 ,                 167063.0 ,                4930.0 ,         281.96 ,"['images/FAD II/imagem_033.png', 'images/FAD II/imagem_032.png']" ,True
surf      ,"[9398, 7441]"   ,"[70918.0, 48328.0]"        ,"[755.0, 649.0]"         ,knn     ,    319 ,                  34615.0 ,               10851.0 ,         146.71 ,"['images/FAD II/imagem_033.png', 'images/FAD II/imagem_032.png']" ,True
surf      ,"[9398, 7441]"   ,"[58211.0, 41072.0]"        ,"[619.0, 552.0]"         ,bf      ,   2503 ,                  69436.0 ,                2774.0 ,         286.74 ,"['images/FAD II/imagem_033.png', 'images/FAD II/imagem_032.png']" ,True

brisk     ,"[121, 85]"      ,"[1032.0, 767.0]"           ,"[853.0, 902.0]"         ,knn     ,     57 ,                     87.0 ,                 153.0 ,          73.14 ,"['images/FAD II/imagem_040.png', 'images/FAD II/imagem_039.png']" ,False
brisk     ,"[121, 85]"      ,"[809.0, 717.0]"            ,"[669.0, 843.0]"         ,bf      ,     55 ,                     59.0 ,                 107.0 ,          97.77 ,"['images/FAD II/imagem_040.png', 'images/FAD II/imagem_039.png']" ,False
orb       ,"[452, 321]"     ,"[1034.0, 987.0]"           ,"[229.0, 308.0]"         ,knn     ,    135 ,                    141.0 ,                 104.0 ,          60.46 ,"['images/FAD II/imagem_040.png', 'images/FAD II/imagem_039.png']" ,False
orb       ,"[452, 321]"     ,"[983.0, 961.0]"            ,"[217.0, 299.0]"         ,bf      ,    163 ,                    232.0 ,                 142.0 ,         106.96 ,"['images/FAD II/imagem_040.png', 'images/FAD II/imagem_039.png']" ,False
sift      ,"[268, 177]"     ,"[19708.0, 18940.0]"        ,"[7354.0, 10701.0]"      ,knn     ,     97 ,                     54.0 ,                  55.0 ,         132.71 ,"['images/FAD II/imagem_040.png', 'images/FAD II/imagem_039.png']" ,False
sift      ,"[268, 177]"     ,"[19609.0, 18497.0]"        ,"[7317.0, 10450.0]"      ,bf      ,    113 ,                    112.0 ,                  99.0 ,         190.44 ,"['images/FAD II/imagem_040.png', 'images/FAD II/imagem_039.png']" ,False
surf      ,"[1420, 1038]"   ,"[17193.0, 14438.0]"        ,"[1211.0, 1391.0]"       ,knn     ,    353 ,                    710.0 ,                 201.0 ,          98.14 ,"['images/FAD II/imagem_040.png', 'images/FAD II/imagem_039.png']" ,False
