extractor ,key_points       ,feature_extract_time ,matching ,matches ,feature_matching_time ,rmse_homography ,images                                                             ,error
orb       ,"[500, 500]"     ,"[0.0229, 0.023]"    ,knn      ,     66 ,               0.0019 ,          66.82 ,"['images/FE PL/imagem_065.png', 'images/FE PL/imagem_064.png']"   ,False
orb       ,"[500, 500]"     ,"[0.0222, 0.0217]"   ,bf       ,    136 ,               0.0056 ,         195.84 ,"['images/FE PL/imagem_065.png', 'images/FE PL/imagem_064.png']"   ,False
sift      ,"[5793, 5918]"   ,"[0.3011, 0.2496]"   ,knn      ,   1218 ,               0.285  ,         125.22 ,"['images/FE PL/imagem_065.png', 'images/FE PL/imagem_064.png']"   ,False
sift      ,"[5793, 5918]"   ,"[0.305, 0.246]"     ,bf       ,   2409 ,               0.7956 ,         228.44 ,"['images/FE PL/imagem_065.png', 'images/FE PL/imagem_064.png']"   ,False
surf      ,"[7750, 7343]"   ,"[0.5909, 0.517]"    ,knn      ,    632 ,               0.4587 ,         128.97 ,"['images/FE PL/imagem_065.png', 'images/FE PL/imagem_064.png']"   ,False
surf      ,"[7750, 7343]"   ,"[0.7437, 0.5303]"   ,bf       ,   2517 ,               1.1285 ,         236.99 ,"['images/FE PL/imagem_065.png', 'images/FE PL/imagem_064.png']"   ,False

brisk     ,"[3082, 2030]"   ,"[0.0807, 0.059]"    ,knn      ,    683 ,               0.051  ,          90.03 ,"['images/FE PL/imagem_078.png', 'images/FE PL/imagem_077.png']"   ,False
brisk     ,"[3082, 2030]"   ,"[0.0767, 0.0585]"   ,bf       ,    981 ,               0.0795 ,         173.02 ,"['images/FE PL/imagem_078.png', 'images/FE PL/imagem_077.png']"   ,False
orb       ,"[500, 500]"     ,"[0.0179, 0.0205]"   ,knn      ,    100 ,               0.0019 ,          86.66 ,"['images/FE PL/imagem_078.png', 'images/FE PL/imagem_077.png']"   ,False
orb       ,"[500, 500]"     ,"[0.018, 0.0185]"    ,bf       ,    168 ,               0.0039 ,         171.14 ,"['images/FE PL/imagem_078.png', 'images/FE PL/imagem_077.png']"   ,False
sift      ,"[2116, 2116]"   ,"[0.3372, 0.3086]"   ,knn      ,    594 ,               0.0847 ,         127.51 ,"['images/FE PL/imagem_078.png', 'images/FE PL/imagem_077.png']"   ,False
sift      ,"[2116, 2116]"   ,"[0.3836, 0.3269]"   ,bf       ,    848 ,               0.1288 ,         222.44 ,"['images/FE PL/imagem_078.png', 'images/FE PL/imagem_077.png']"   ,False
surf      ,"[4863, 5929]"   ,"[0.5462, 0.5317]"   ,knn      ,   1595 ,               0.1756 ,          92.82 ,"['images/FE PL/imagem_078.png', 'images/FE PL/imagem_077.png']"   ,False
surf      ,"[4863, 5929]"   ,"[0.4431, 0.5961]"   ,bf       ,   2243 ,               0.4843 ,         180.87 ,"['images/FE PL/imagem_078.png', 'images/FE PL/imagem_077.png']"   ,False
